Key,Palabras
456,mundial
457,dólares
458,juego
459,económica
460,políticos
461,duda
462,recursos
463,pública
464,crisis
465,próximo
466,tenemos
467,decisión
468,varias
469,popular
470,tenido
471,apenas
472,época
473,banco
474,presente
475,menor
476,quiero
477,pasar
478,resultado
479,televisión
480,encuentra
481,gracias
482,ministerio
483,conjunto
484,defensa
485,alguien
486,queda
487,hacen
488,pasa
489,resto
490,causa
491,seguir
492,allá
493,palabra
494,voy
495,cuya
496,vamos
497,mar
498,estudios
499,derechos
500,importancia
501,cuales
502,contrario
503,manuel
504,garcía
505,fuerte
506,sol
507,jóvenes
508,apoyo
509,habría
510,civil
511,miguel
512,pedro
513,partidos
514,libre
515,fuentes
516,administración
517,común
518,dejar
519,cine
520,salir
521,comunicación
522,experiencia
523,demasiado
524,plan
525,respuesta
526,energía
527,izquierda
528,función
529,principal
530,superior
531,naturaleza
532,podemos
533,unión
534,especialmente
535,rey
536,domingo
537,favor
538,cantidad
539,elecciones
540,clase
541,productos
542,españoles
543,conocer
544,teatro
545,importantes
546,evitar
547,color
548,actividades
549,mesa
550,decía
551,cuyo
552,debido
553,alta
554,francisco
555,secretario
556,objeto
557,quizá
558,posición
559,parecía
560,natural
561,elementos
562,hubo
563,objetivo
564,formas
565,única
566,pueda
567,origen
568,blanco
569,mismos
570,lleva
571,económico
572,opinión
573,ayuda
574,oficial
575,silencio
576,buenos
577,pensar
578,república
579,dónde
580,sangre
581,encuentro
582,siquiera
583,autor
584,reunión
585,haciendo
586,suelo
587,muestra
588,viejo
589,encima
590,resulta
591,tomar
592,bastante
593,siete
594,lucha
595,pudo
596,amigos
597,línea
598,sur
599,pocos
600,medidas
601,norte
602,partes
603,iglesia
604,tratamiento
605,existencia
606,cargo
607,grande
608,américa
609,boca
610,plaza
611,pie
612,trabajadores
613,poner
614,existen
615,viene
616,permite
617,análisis
618,argentina
619,acto
620,hechos
621,tiempos
622,políticas
623,radio
624,puedo
625,crecimiento
626,francia
627,compañía
628,amigo
629,autoridades
630,realizar
631,acciones
632,padres
633,diario
634,derecha
635,ambiente
636,habrá
637,precisamente
638,enfermedad
639,especie
640,ejército
641,santa
642,cambios
643,río
644,sabía
645,seguro
646,espera
647,momentos
648,viaje
649,quería
650,ocho
651,vivir
652,región
653,formación
654,escuela
655,cuarto
656,valores
657,quedó
658,participación
659,éxito
660,baja
661,artículo
662,principales
663,fernando
664,metros
665,marcha
666,régimen
667,consecuencia
668,conocimiento
669,corazón
670,campaña
671,estructura
672,efectos
673,finalmente
674,modelo
675,carta
676,construcción
677,médico
678,miedo
679,mayores
680,entrada
681,humanos
682,sean
683,actitud
684,deja
685,dejó
686,llevar
687,negro
688,texto
689,mitad
690,estuvo
691,alrededor
692,acerca
693,peso
694,humano
695,pequeño
696,fecha
697,serán
698,doctor
699,ideas
700,vino
701,materia
702,llega
703,carrera
704,cierta
705,sola
706,psoe
707,lejos
708,juez
709,características
710,riesgo
711,fácil
712,diferencia
713,cultural
714,libros
715,práctica
716,mayo
717,nuestras
718,programas
719,memoria
720,llegado
721,plazo
722,expresión
723,diciembre
724,mantener
725,enero
726,volver
727,cuadro
728,producto
729,produce
730,europea
731,conciencia
732,tenían
733,atrás
734,felipe
735,creación
736,chile
737,precio
738,película
739,puerto
740,fuego
741,cuestión
742,pasó
743,costa
744,supuesto
745,local
746,habla
747,aspectos
748,cuba
749,sala
750,cámara
751,vuelta
752,vía
753,mirada
754,mejores
755,informe
756,unidad
757,distintos
758,suerte
759,tales
760,mira
761,llamado
762,técnica
763,título
764,principios
765,octubre
766,volvió
767,período
768,encontrar
769,democracia
770,aumento
771,fútbol
772,prueba
773,consumo
774,pese
775,ocasiones
776,exterior
777,solución
778,hija
779,sueño
780,parís
781,capaz
782,ocasión
783,industria
784,adelante
785,salida
786,ciencia
787,asunto
788,asociación
789,puso
790,intereses
791,oro
792,podrá
793,pregunta
794,oposición
795,entrar
796,señora
797,señaló
798,santiago
799,dolor
800,zonas
801,comercio
802,operación
803,tribunal
804,instituciones
805,temas
806,militares
807,junio
808,marco
809,sectores
810,hacerlo
811,aspecto
812,razones
813,contenido
814,juicio
815,electoral
816,considera
817,tendrá
818,mucha
819,voluntad
820,dicen
821,recuerdo
822,socialista
823,área
824,aparece
825,vio
826,cama
827,aun
828,presenta
829,revolución
830,busca
831,abril
832,rodríguez
833,fiscal
834,lópez
835,victoria
836,violencia
837,primeras
838,pequeña
839,armas
840,debía
841,esfuerzo
842,humana
843,posibilidades
844,centros
845,profesional
846,asimismo
847,grado
848,has
849,toma
850,distintas
851,material
852,carne
853,llama
854,particular
855,jorge
856,trabajar
857,propuesta
858,muerto
859,precios
860,reforma
861,hermano
862,corte
863,comenzó
864,etapa
865,obstante
866,pone
867,diversos
868,visita
869,concepto
870,pacientes
871,semanas
872,tipos
873,solamente
874,deseo
875,sistemas
876,encuentran
877,siguientes
878,martín
879,suficiente
880,marzo
881,propios
882,jamás
883,dan
884,club
885,instituto
886,constitución
887,curso
888,lenguaje
889,estilo
890,rosa
891,imposible
892,pablo
893,buscar
894,peor
895,piel
896,arriba
897,generales
898,septiembre
899,blanca
900,aquellas
901,teoría
902,animales
903,hicieron
904,larga
905,perdido
906,imágenes
907,paciente
908,conseguir
909,máximo
910,noviembre
911,líder
912,hospital
913,diversas
914,rafael
915,vuelve
916,destino
917,torno
918,proyectos
919,flores
920,niveles
921,afirmó
922,explicó
923,somos
924,términos
925,premio
926,tercera
927,simple
928,trabajos
929,factores
930,fuente
931,cielo
932,ambas
933,mismas
934,fernández
935,actualmente
936,conocido
937,condición
938,ejercicio
939,cree
940,par
941,ocurre
942,espíritu
943,lengua
944,responsabilidad
945,digo
946,pérez
947,distancia
948,organismo
949,cruz
950,evolución
951,realmente
952,alberto
953,francés
954,novela
955,alma
956,doble
957,anteriores
958,obtener
959,dije
960,selección
961,podido
962,nación
963,ido
964,crear
965,motivo
966,tercer
967,detrás
968,significa
969,empleo
970,escrito
971,departamento
972,contacto
973,casas
974,red
975,rostro
976,oportunidad
977,procesos
978,terreno
979,daba
980,calles
981,lista
982,nacionales
983,funciones
984,leyes
985,acceso
986,técnico
987,visión
988,preguntó
989,jesús
990,grave
991,tenga
992,lunes
993,aplicación
994,junta
995,lugares
996,verano
997,capítulo
998,éstos
999,pensamiento
1000,york
1001,frecuencia
1002,gestión
1003,viernes
1004,javier
1005,sitio
1006,agosto
1007,propiedad
1008,profesionales
1009,últimas
1010,gusta
1011,objetivos
1012,movimientos
1013,alcalde
1014,ejecutivo
1015,ciudadanos
1016,necesidades
1017,exposición
1018,término
1019,veinte
1020,cuál
1021,clara
1022,altura
1023,pequeños
1024,presión
1025,moral
1026,lograr
1027,comité
1028,teléfono
1029,asuntos
1030,peligro
1031,escena
1032,gusto
1033,palacio
1034,hotel
1035,colombia
1036,aseguró
1037,isla
1038,guardia
1039,confianza
1040,ciudades
1041,esperar
1042,café
1043,demanda
1044,personajes
1045,directamente
1046,salió
1047,discurso
1048,sánchez
1049,representantes
1050,normal
1051,pena
1052,jugadores
1053,supone
1054,industrial
1055,referencia
1056,febrero
1057,entender
1058,esté
1059,física
1060,dejado
1061,alimentos
1062,pies
1063,doña
1064,protección
1065,autores
1066,marido
1067,podrían
1068,llamada
1069,brazos
1070,intervención
1071,sal
1072,páginas
1073,nueve
1074,pueblos
1075,temporada
1076,tus
1077,abajo
1078,aquello
1079,maestro
1080,internacionales
1081,técnicas
1082,estás
1083,esposa
1084,crítica
1085,totalmente
1086,perder
1087,venta
1088,finales
1089,ramón
1090,contar
1091,diferencias
1092,familiar
1093,martínez
1094,kilómetros
1095,mala
1096,fundamental
1097,enorme
1098,puedan
1099,líneas
1100,ofrece
1101,comercial
1102,pan
1103,aires
1104,profesor
1105,inversión
1106,municipal
1107,declaraciones
1108,funcionarios
1109,aguas
1110,responsable
1111,sábado
1112,alguno
1113,federal
1114,señala
1115,conflicto
1116,dicha
1117,dirigentes
1118,cambiar
1119,superficie
1120,necesita
1121,estudiantes
1122,tantos
1123,golpe
1124,públicos
1125,públicas
1126,equipos
1127,literatura
1128,pruebas
1129,alemania
1130,circunstancias
1131,tienes
1132,documento
1133,fiesta
1134,simplemente
1135,enrique
1136,aceite
1137,establecer
1138,médicos
1139,eres
1140,locales
1141,empezó
1142,pobre
1143,debería
1144,llevó
1145,parlamento
1146,territorio
1147,sale
1148,treinta
1149,coche
1150,clases
1151,afirma
1152,oficiales
1153,diálogo
1154,respeto
1155,tratado
1156,llevaba
1157,revista
1158,copa
1159,pintura
1160,nombres
1161,propósito
1162,leche
1163,actualidad
1164,constituye
1165,tarea
1166,alcanzar
1167,competencia
1168,normas
1169,plata
1170,vecinos
1171,fenómeno
1172,intención
1173,dando
1174,diputados
1175,judicial
1176,cualquiera
1177,jornada
1178,italia
1179,ganar
1180,candidato
1181,calor
1182,esperanza
1183,recién
1184,suele
1185,miles
1186,ritmo
1187,vive
1188,quizás
1189,pasos
1190,sensación
1191,representación
1192,presidencia
1193,triunfo
1194,ayuntamiento
1195,plantas
1196,niña
1197,frío
1198,tono
1199,compañeros
1200,quieren
1201,pesos
1202,delante
1203,propias
1204,plano
1205,enfermedades
1206,institución
1207,edificio
1208,nota
1209,franco
1210,jugar
1211,representa
1212,gesto
1213,mensaje
1214,vasco
1215,pudiera
1216,gómez
1217,influencia
1218,pocas
1219,realizado
1220,conducta
1221,objetos
1222,tamaño
1223,provincia
1224,europeo
1225,verde
1226,informó
1227,escribir
1228,materiales
1229,eduardo
1230,cumplir
1231,pidió
1232,alumnos
1233,ámbito
1234,muertos
1235,explica
1236,consecuencias
1237,refiere
1238,comer
1239,fines
1240,versión
1241,abierto
1242,debate
1243,barrio
1244,labor
1245,fondos
1246,justo
1247,tradición
1248,diferente
1249,piensa
1250,tecnología
1251,mantiene
1252,situaciones
1253,fase
1254,histórico
1255,agentes
1256,planta
1257,venezuela
1258,actuación
1259,iban
1260,actos
1261,posibles
1262,león
1263,mamá
1264,velocidad
1265,familiares
1266,especies
1267,cabe
1268,asamblea
1269,comunidades
1270,museo
1271,conferencia
1272,prácticamente
1273,autoridad
1274,sujeto
1275,alfonso
1276,tratar
1277,hacerse
1278,pérdida
1279,dificultades
1280,rato
1281,pagar
1282,colegio
1283,sabes
1284,personaje
1285,áreas
1286,audiencia
1287,doce
1288,haga
1289,periódico
1290,distribución
1291,ausencia
1292,entrevista
1293,recibió
1294,añadió
1295,cocina
1296,edición
1297,económicos
1298,naturales
1299,parecer
1300,santo
1301,vieja
1302,mario
1303,corresponde
1304,decidió
1305,perú
1306,llegada
1307,comienza
1308,organizaciones
1309,tendencia
1310,escenario
1311,definitiva
1312,deberá
1313,indicó
1314,noticia
1315,inglés
1316,reina
1317,ustedes
1318,madera
1319,alemán
1320,habitantes
1321,recibir
1322,salvo
1323,familias
1324,miembro
1325,escritor
1326,conoce
1327,cuidado
1328,identidad
1329,quiso
1330,pareja
1331,evidente
1332,brasil
1333,ciertos
1334,siguen
1335,declaración
1336,cadena
1337,acaba
1338,consiste
1339,presentación
1340,cuentas
1341,azul
1342,década
1343,puertas
1344,comida
1345,inmediato
1346,marca
1347,antiguo
1348,rojo
1349,debemos
1350,instante
1351,operaciones
1352,iniciativa
1353,caer
1354,luna
1355,veía
1356,verdadero
1357,habitación
1358,manifestó
1359,tío
1360,quedado
1361,martes
1362,pleno
1363,declaró
1364,juegos
1365,mínimo
1366,aparición
1367,estará
1368,transporte
1369,ven
1370,pretende
1371,tantas
1372,sede
1373,comportamiento
1374,periodistas
1375,animal
1376,convertido
1377,brazo
1378,hermanos
1379,rico
1380,anunció
1381,presupuesto
1382,estrategia
1383,naciones
1384,utilizar
1385,buenas
1386,compromiso
1387,acaso
1388,completo
1389,pelo
1390,piedra
1391,medicina
1392,campos
1393,liga
1394,vaya
1395,disposición
1396,permanente
1397,método
1398,sentía
1399,próxima
1400,tierras
1401,error
1402,incremento
1403,piso
1404,socialistas
1405,similar
1406,viento
1407,salvador
1408,seres
1409,posteriormente
1410,dispuesto
1411,poeta
1412,económicas
1413,secreto
1414,funcionamiento
1415,debajo
1416,recordar
1417,valencia
1418,presentó
1419,jueves
1420,corriente
1421,ingresos
1422,intento
1423,tuvieron
1424,colores
1425,altos
1426,sevilla
1427,hojas
1428,probablemente
1429,búsqueda
1430,pequeñas
1431,oferta
1432,washington
1433,cataluña
1434,oficina
1435,produjo
1436,soldados
1437,pasada
1438,volumen
1439,parecen
1440,causas
1441,dieron
1442,división
1443,darle
1444,clave
1445,reciente
1446,votos
1447,logró
1448,piernas
1449,sirve
1450,carmen
1451,deuda
1452,noticias
1453,menores
1454,querido
1455,pago
1456,fig
1457,recuerda
1458,podrán
1459,independencia
1460,ataque
1461,igualmente
1462,necesaria
1463,quedan
1464,regional
1465,castro
1466,decisiones
1467,concepción
1468,llegaron
1469,siente
1470,juntos
1471,sabemos
1472,ropa
1473,parque
1474,empresarios
1475,conmigo
1476,procedimiento
1477,suma
1478,elección
1479,leer
1480,feliz
1481,ninguno
1482,continuación
1483,ministros
1484,verdadera
1485,reacción
1486,podían
1487,tanta
1488,tomó
1489,mente
1490,tradicional
1491,abierta
1492,breve
1493,aparecen
1494,trataba
1495,recibido
1496,mejorar
1497,ciertas
1498,aparte
1499,cárcel
1500,entidad
1501,investigaciones
1502,temperatura
1503,siento
1504,londres
1505,directa
1506,portavoz
1507,responsables
1508,ventana
1509,contrato
1510,elemento
1511,privada
1512,quince
1513,veo
1514,firma
1515,incluye
1516,pobres
1517,vas
1518,abogado
1519,presentar
1520,gobernador
1521,próximos
1522,jaime
1523,hablando
1524,canal
1525,tráfico
1526,capitán
1527,personalidad
1528,género
1529,generación
1530,documentos
1531,espectáculo
1532,vivo
1533,tendría
1534,preguntas
1535,inmediatamente
1536,cien
1537,colaboración
1538,hermana
1539,conde
1540,mío
1541,federación
1542,cincuenta
1543,sorpresa
1544,regiones
1545,carga
1546,bienes
1547,masa
1548,cartas
1549,reyes
1550,principalmente
1551,puestos
1552,sombra
1553,andrés
1554,criterios
1555,abrir
1556,cuyos
1557,filosofía
1558,miró
1559,negra
1560,margen
1561,artista
1562,constante
1563,encontraba
1564,gastos
1565,morir
1566,espacios
1567,figuras
1568,miércoles
1569,venido
1570,indica
1571,comienzo
1572,diseño
1573,cuarenta
1574,encontró
1575,poesía
1576,planes
1577,negocios
1578,integración
1579,caída
1580,entrega
1581,hacienda
1582,acuerdos
1583,preciso
1584,cuello
1585,banda
1586,suyo
1587,realiza
1588,frase
1589,bases
1590,siglos
1591,decidido
1592,sentir
1593,artistas
1594,asegura
1595,culpa
1596,original
1597,únicamente
1598,unidades
1599,ocurrió
1600,sexo
1601,entra
1602,hayan
1603,resolver
1604,misión
1605,caja
1606,considerar
1607,extranjeros
1608,extremo
1609,periodista
1610,reducción
1611,matrimonio
1612,quieres
1613,mas
1614,películas
1615,fui
1616,laboral
1617,importa
1618,seguía
1619,negocio
1620,sexual
1621,enseñanza
1622,agregó
1623,labios
1624,resolución
1625,fundación
1626,hará
1627,depende
1628,diego
1629,actor
1630,técnicos
1631,belleza
1632,titular
1633,roma
1634,logrado
1635,víctimas
1636,detalles
1637,europeos
1638,caballo
1639,huelga
1640,carretera
1641,norteamericano
1642,producir
1643,antigua
1644,alianza
1645,físico
1646,sacar
1647,publicidad
1648,previsto
1649,entorno
1650,preocupación
1651,resistencia
1652,murió
1653,éstas
1654,saben
1655,generalmente
1656,dormir
1657,individuo
1658,cuerpos
1659,corto
1660,organismos
1661,especiales
1662,internet
1663,bancos
1664,jugador
1665,esfuerzos
1666,beneficios
1667,terminar
1668,equilibrio
1669,oído
1670,lectura
1671,piezas
1672,límites
1673,aproximadamente
1674,abre
1675,david
1676,llevado
1677,privado
1678,salón
1679,roberto
1680,actuales
1681,graves
1682,sonrisa
1683,foto
1684,perspectiva
1685,cifra
1686,crédito
1687,interesante
1688,constitucional
1689,aceptar
1690,producido
1691,bolsa
1692,factor
1693,noches
1694,reconocimiento
1695,juventud
1696,habitual
1697,categoría
1698,requiere
1699,fuese
1700,impresión
1701,llamar
1702,duro
1703,universal
1704,explicar
1705,presentan
1706,realización
1707,rápido
1708,científicos
1709,serio
1710,científico
1711,comprender
1712,reino
1713,preparación
1714,síntomas
1715,recuperación
1716,utilización
1717,fuertes
1718,sonido
1719,inteligencia
1720,conversación
1721,establece
1722,hubiese
1723,plena
1724,venía
1725,realizó
1726,aznar
1727,daniel
1728,francesa
1729,legal
1730,abrió
1731,alegría
1732,ojo
1733,ocurrido
1734,díaz
1735,vuelto
1736,diputado
1737,correspondiente
1738,interna
1739,musical
1740,segundos
1741,recientemente
1742,empieza
1743,decreto
1744,china
1745,pareció
1746,células
1747,suelen
1748,perfectamente
1749,azúcar
1750,inversiones
1751,concentración
1752,espalda
1753,producen
1754,democrática
1755,respondió
1756,sucede
1757,contexto
1758,claramente
1759,paredes
1760,motivos
1761,ciencias
1762,tuve
1763,isabel
1764,argentino
1765,inicio
1766,mercados
1767,métodos
1768,estudiar
1769,interpretación
1770,culturales
1771,prisión
1772,llevan
1773,amplio
1774,queremos
1775,apertura
1776,dedos
1777,vale
1778,creer
1779,voto
1780,participar
1781,corrupción
1782,histórica
1783,teresa
1784,papá
1785,voces
1786,pienso
1787,ángel
1788,inicial
1789,escala
1790,estrellas
1791,página
1792,guatemala
1793,temor
1794,encontrado
1795,compra
1796,pensó
1797,dudas
1798,reconocer
1799,máxima
1800,actuar
1801,reales
1802,universo
1803,directo
1804,negociaciones
1805,ricardo
1806,instalaciones
1807,artículos
1808,aparato
1809,lleno
1810,intelectual
1811,cifras
1812,jardín
1813,vacío
1814,ciclo
1815,valle
1816,pensaba
1817,forman
1818,dirigente
1819,pide
1820,vehículos
1821,cuestiones
1822,puesta
1823,llamó
1824,ruiz
1825,mostró
1826,pecho
1827,honor
1828,pedir
1829,formar
1830,numerosos
1831,seguramente
1832,extraño
1833,recurso
1834,independiente
1835,posiciones
1836,sociedades
1837,exteriores
1838,cita
1839,periodo
1840,propuestas
1841,empleados
1842,teniendo
1843,agencia
1844,cuadros
1845,partida
1846,tensión
1847,raúl
1848,mirar
1849,rica
1850,mexicano
1851,modelos
1852,regreso
1853,gobiernos
1854,constituyen
1855,absoluta
1856,clima
1857,criterio
1858,latina
1859,continúa
1860,punta
1861,amplia
1862,registro
1863,sesión
1864,patria
1865,posee
1866,entró
1867,servir
1868,lluvia
1869,ganado
1870,pasando
1871,construir
1872,completa
1873,personales
1874,reducir
1875,desarrollar
1876,alcance
1877,deporte
1878,pacto
1879,elaboración
1880,quedaba
1881,vicepresidente
1882,alcohol
1883,etcétera
1884,fórmula
1885,inferior
1886,tasa
1887,expertos
1888,extranjero
1889,diciendo
1890,olvidar
1891,presentes
1892,pensando
1893,esperaba
1894,código
1895,cooperación
1896,fotografía
1897,batalla
1898,alternativa
1899,nacido
1900,árboles
1901,penal
1902,llena
1903,siguió
1904,hablaba
1905,turismo
1906,papeles
1907,menudo
1908,angel
1909,papa
1910,populares
1911,estación
1912,rápidamente
1913,sección
1914,determinado
1915,convertirse
1916,global
1917,negociación
1918,instrumento
1919,dura
1920,significado
1921,intensidad
1922,posterior
1923,múltiples
1924,gas
1925,nuevamente
1926,hierro
1927,seguido
1928,once
1929,conseguido
1930,soledad
1931,mirando
1932,presentado
1933,instrumentos
1934,supo
1935,disco
1936,festival
1937,llegan
1938,mezcla
1939,drogas
1940,vivienda
1941,escuchar
1942,coronel
1943,completamente
1944,ideal
1945,cáncer
1946,textos
1947,hambre
1948,solidaridad
1949,vicente
1950,continuar
1951,porcentaje
1952,artes
1953,vienen
1954,villa
1955,nicaragua
1956,hacían
1957,lector
1958,estructuras
1959,venir
1960,castillo
1961,opción
1962,comentó
1963,sindicatos
1964,ganó
1965,amenaza
1966,representante
1967,comerciales
1968,puedes
1969,planeta
1970,perdió
1971,beneficio
1972,miami
1973,buscando
1974,sentimientos
1975,comprar
1976,quedar
1977,accidente
1978,ventaja
1979,impuesto
1980,dejando
1981,distinto
1982,tía
1983,semejante
1984,españolas
1985,occidental
1986,capaces
1987,científica
1988,tengan
1989,ruido
1990,individuos
1991,víctima
1992,vestido
1993,comunista
1994,moda
1995,títulos
1996,diagnóstico
1997,experiencias
1998,espejo
1999,puente
2000,ingreso
2001,sueños
2002,vehículo
2003,convierte
2004,viejos
2005,empezar
2006,profesores
2007,pasión
2008,basta
2009,democrático
2010,sintió
2011,dijeron
2012,comunes
2013,sentimiento
2014,sentencia
2015,estatal
2016,madrugada
2017,moderna
2018,impacto
2019,complejo
2020,denuncia
2021,toro
2022,víctor
2023,tabla
2024,delito
2025,ventas
2026,dominio
2027,entidades
2028,superiores
2029,candidatos
2030,gloria
2031,índice
2032,indios
2033,raíz
2034,john
2035,recordó
2036,absoluto
2037,agricultura
2038,marcos
2039,composición
2040,cuándo
2041,joaquín
2042,terminó
2043,fueran
2044,asistencia
2045,explicación
2046,torres
2047,lógica
2048,triste
2049,avión
2050,enfermo
2051,cuyas
2052,excepción
2053,habló
2054,placer
2055,humor
2056,mecanismos
2057,cerebro
2058,caliente
2059,excelente
2060,darse
2061,conocimientos
2062,príncipe
2063,religión
2064,ganas
2065,críticas
2066,profunda
2067,manifestaciones
2068,dosis
2069,baño
2070,paro
2071,profundo
2072,conceptos
2073,depresión
2074,altas
2075,pared
2076,liberación
2077,estrella
2078,duración
2079,perro
2080,intentar
2081,aumentar
2082,asesinato
2083,órdenes
2084,ignacio
2085,roja
2086,permiten
2087,despacho
2088,añade
2089,poca
2090,recibe
2091,muchacho
2092,considerado
2093,conversaciones
2094,tendrán
2095,definición
2096,viven
2097,consideran
2098,restos
2099,tomado
2100,estadio
2101,actores
2102,debió
2103,conviene
2104,errores
2105,negros
2106,humanidad
2107,individual
2108,hogar
2109,conocida
2110,acontecimientos
2111,minuto
2112,millón
2113,pantalla
2114,estadounidense
2115,progreso
2116,inició
2117,pieza
2118,firme
2119,fundamentales
2120,olor
2121,gracia
2122,autonomía
2123,esencial
2124,exige
2125,viva
2126,norteamericana
2127,nacimiento
2128,polvo
2129,castilla
2130,fundamentalmente
2131,impuestos
2132,implica
2133,utiliza
2134,totalidad
2135,discusión
2136,italiano
2137,postura
2138,clientes
2139,luces
2140,encontramos
2141,liberal
2142,interno
2143,dientes
2144,sesenta
2145,exactamente
2146,compañero
2147,cuento
2148,virus
2149,tareas
2150,evaluación
2151,máquina
2152,funcionario
2153,señalar
2154,residencia
2155,absolutamente
2156,dolores
2157,nació
2158,sebastián
2159,ánimo
2160,caminos
2161,torneo
2162,acabar
2163,gol
2164,fracaso
2165,recorrido
2166,contiene
2167,eficacia
2168,policías
2169,suárez
2170,inglaterra
2171,concreto
2172,determinar
2173,haberse
2174,reglas
2175,clinton
2176,ríos
2177,redacción
2178,localidad
2179,escuelas
2180,distinta
